## RECSRecommendations Upload File,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,
## RECentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.sku,entity.eciReference,entity.listPrice,entity.discount,entity.brand,entity.availability,entity.parentCategoryId,entity.parentCategoryName
0753759338111,Juguete de construcción R2-D2 Lego Star Wars,"Juguetes,Juguetes : Juegos de construcción",Figura de juguete LEGO® Star Wars™ de R2-D2 para construir: Crea una divertida pieza de exposición con esta detallada figura LEGO construible de uno de los personajes más entrañables del universo Star Wars.,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202409/17/00197630171169____23__440x440.jpg,89.99,https://www.elcorteingles.es/juguetes/A50762177-juguete-de-construccion-r2-d2-lego-star-wars/,1,A50762177,001097630171169   ,99.99,10%,LEGO,In stock,999.5414001,Juegos de construcción
0753759338112,"Reloj Smartwatch fenix 8 47mm Zafiro Amoled, DLC Garmin","Electrónica,Electrónica : Smartwatches,Electrónica : Smartwatches : Relojes inteligentes,Electrónica,Electrónica : Smartwatches,Electrónica : Smartwatches : Smartwatches con GPS,Deportes,Deportes : Electrónica,Deportes : Electrónica : Relojes deportivos,Deportes,Deportes : Ciclismo,Deportes : Ciclismo : Relojes ciclismo,Deportes,Deportes : Montaña,Deportes : Montaña : Relojes montaña,Deportes,Deportes : Running,Deportes : Running : Relojes running",Sin límites. La serie de relojes multideporte con GPS f?nix 8 están diseñados para atletas y aventureros que quieren superarse.,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202408/16/00126660213112____1__440x440.jpg,999.99,https://www.elcorteingles.es/deportes/A52638612-reloj-smartwatch-fenix-8-47mm-zafiro-amoled-dlc-garmin/,1,A52638612,001026660213112   ,1099.99,9%,GARMIN,In stock,"999.2019817013,999.53764013,999.52184013,999.50169208013,999.53397013,999.23835088013","Relojes montaña,Relojes ciclismo,Relojes deportivos,Smartwatches con GPS,Relojes running,Relojes inteligentes"
0753759338113,Camiseta de niños 1ª equipación España 2024 adidas,"Deportes,Deportes : Niños,Deportes : Niños : Ropa deportiva,Deportes : Niños : Ropa deportiva : Camisetas,Deportes,Deportes : Fútbol,Deportes : Fútbol : Ropa entrenamiento,Deportes : Fútbol : Ropa entrenamiento : Niños,Deportes,Deportes : Fútbol,Deportes : Fútbol : Ropa entrenamiento,Deportes : Fútbol : Ropa entrenamiento : Camisetas,Deportes,Deportes : Ropa deportiva,Deportes,Deportes : Fútbol,Deportes : Fútbol : Equipaciones Oficiales,Deportes : Fútbol : Equipaciones Oficiales : Selección Española","Una arraigada tradición futbolística. Esta camiseta adidas de la primera equipación de España luce un llamativo estampado del mismo tono inspirado en la belleza del clavel, nuestra flor nacional, y en la pasión y la elegancia del baile flamenco. Diseñada para jóvenes hinchas, se ha confeccionado en un tejido transpirable AEROREADY que mantiene la piel seca mientras animas sin descanso. El escudo de la selección cosido en el pecho y el clavel en la nuca ponen el broche final.",https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202403/06/00132435104511____3__440x440.jpg,74.99,https://www.elcorteingles.es/deportes/A48494540-camiseta-de-ninos-1-equipacion-espana-2024-adidas/,1,A48494540,001032435104511128,74.99,0,ADIDAS,In stock,"999.14632308013,999.17528231013,999.48380757013,999.53664013,999.17528247013","Camisetas,Niños,Camisetas,Ropa deportiva,Selección Española"
0753759338114,Camiseta de niños 1ª equipación España 2024 adidas,"Deportes,Deportes : Niños,Deportes : Niños : Ropa deportiva,Deportes : Niños : Ropa deportiva : Camisetas,Deportes,Deportes : Fútbol,Deportes : Fútbol : Ropa entrenamiento,Deportes : Fútbol : Ropa entrenamiento : Niños,Deportes,Deportes : Fútbol,Deportes : Fútbol : Ropa entrenamiento,Deportes : Fútbol : Ropa entrenamiento : Camisetas,Deportes,Deportes : Ropa deportiva,Deportes,Deportes : Fútbol,Deportes : Fútbol : Equipaciones Oficiales,Deportes : Fútbol : Equipaciones Oficiales : Selección Española","Una arraigada tradición futbolística. Esta camiseta adidas de la primera equipación de España luce un llamativo estampado del mismo tono inspirado en la belleza del clavel, nuestra flor nacional, y en la pasión y la elegancia del baile flamenco. Diseñada para jóvenes hinchas, se ha confeccionado en un tejido transpirable AEROREADY que mantiene la piel seca mientras animas sin descanso. El escudo de la selección cosido en el pecho y el clavel en la nuca ponen el broche final.",https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202403/06/00132435104511____3__440x440.jpg,74.99,https://www.elcorteingles.es/deportes/A48494540-camiseta-de-ninos-1-equipacion-espana-2024-adidas/,1,A48494540,001032435104511140,74.99,0,ADIDAS,In stock,"999.14632308013,999.17528231013,999.48380757013,999.53664013,999.17528247013","Camisetas,Niños,Camisetas,Ropa deportiva,Selección Española"
0753759338115,Camiseta de niños 1ª equipación España 2024 adidas,"Deportes,Deportes : Niños,Deportes : Niños : Ropa deportiva,Deportes : Niños : Ropa deportiva : Camisetas,Deportes,Deportes : Fútbol,Deportes : Fútbol : Ropa entrenamiento,Deportes : Fútbol : Ropa entrenamiento : Niños,Deportes,Deportes : Fútbol,Deportes : Fútbol : Ropa entrenamiento,Deportes : Fútbol : Ropa entrenamiento : Camisetas,Deportes,Deportes : Ropa deportiva,Deportes,Deportes : Fútbol,Deportes : Fútbol : Equipaciones Oficiales,Deportes : Fútbol : Equipaciones Oficiales : Selección Española","Una arraigada tradición futbolística. Esta camiseta adidas de la primera equipación de España luce un llamativo estampado del mismo tono inspirado en la belleza del clavel, nuestra flor nacional, y en la pasión y la elegancia del baile flamenco. Diseñada para jóvenes hinchas, se ha confeccionado en un tejido transpirable AEROREADY que mantiene la piel seca mientras animas sin descanso. El escudo de la selección cosido en el pecho y el clavel en la nuca ponen el broche final.",https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202403/06/00132435104511____3__440x440.jpg,74.99,https://www.elcorteingles.es/deportes/A48494540-camiseta-de-ninos-1-equipacion-espana-2024-adidas/,1,A48494540,001032435104511152,74.99,0,ADIDAS,In stock,"999.14632308013,999.17528231013,999.48380757013,999.53664013,999.17528247013","Camisetas,Niños,Camisetas,Ropa deportiva,Selección Española"
0753759338116,Camiseta de niños 1ª equipación España 2024 adidas,"Deportes,Deportes : Niños,Deportes : Niños : Ropa deportiva,Deportes : Niños : Ropa deportiva : Camisetas,Deportes,Deportes : Fútbol,Deportes : Fútbol : Ropa entrenamiento,Deportes : Fútbol : Ropa entrenamiento : Niños,Deportes,Deportes : Fútbol,Deportes : Fútbol : Ropa entrenamiento,Deportes : Fútbol : Ropa entrenamiento : Camisetas,Deportes,Deportes : Ropa deportiva,Deportes,Deportes : Fútbol,Deportes : Fútbol : Equipaciones Oficiales,Deportes : Fútbol : Equipaciones Oficiales : Selección Española","Una arraigada tradición futbolística. Esta camiseta adidas de la primera equipación de España luce un llamativo estampado del mismo tono inspirado en la belleza del clavel, nuestra flor nacional, y en la pasión y la elegancia del baile flamenco. Diseñada para jóvenes hinchas, se ha confeccionado en un tejido transpirable AEROREADY que mantiene la piel seca mientras animas sin descanso. El escudo de la selección cosido en el pecho y el clavel en la nuca ponen el broche final.",https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202403/06/00132435104511____3__440x440.jpg,74.99,https://www.elcorteingles.es/deportes/A48494540-camiseta-de-ninos-1-equipacion-espana-2024-adidas/,1,A48494540,001032435104511164,74.99,0,ADIDAS,In stock,"999.14632308013,999.17528231013,999.48380757013,999.53664013,999.17528247013","Camisetas,Niños,Camisetas,Ropa deportiva,Selección Española"
0753759338117,Pendientes Baby Tous de oro con motivo de oso,"Moda mujer,Moda mujer : Joyería y Relojes,Moda mujer : Joyería y Relojes : Joyería,Moda mujer : Joyería y Relojes : Joyería : Pendientes","Pendientes Baby TOUS en oro amarillo de 18kt. Cierre rosca. Motivo: 0,4 cm.",https://dam.elcorteingles.es/producto/www-8445141139523-00.jpg,139,https://www.elcorteingles.es/moda-mujer/MP_0086322_111003010-pendientes-baby-tous-de-oro-con-motivo-de-oso/,1,MP_0086322_111003010,26598634,139,0,TOUS,In stock,999.3909084,Pendientes
0197064936078,Chaqueta de plumón de hombre Diablo 2.0 The North Face,"Deportes,Deportes : Hombre,Deportes : Hombre : Ropa deportiva, esportiva, Deportes : Hombre : Ropa deportiva, esportiva : Chaquetas,Deportes,Deportes : Montaña,Deportes : Montaña : Ropa,Deportes : Montaña : Ropa : Hombre","Cuando te pongas la chaqueta de plumón Diablo 2.0, no te la querrás volver a quitar. Esta temporada se presenta en un diseño renovado con una nueva construcción más resistente en tejido antidesgarros a rombos de alta resistencia y con aislamiento térmico de 700 cuins a base de plumón reciclado, que te abrigará en un santiamén. ",https://dam.elcorteingles.es/producto/www-0197064936076-00.jpg,230.95,https://www.elcorteingles.es/deportes/MP_0538405_NF0A8993-chaqueta-de-plumon-de-hombre-diablo-20-the-north-face/,1,MP_0538405_NF0A8993,35751313,329.99,30%,The North Face,In stock,"999.14598528013,999.17482946013","Chaquetas,Hombre"
0197064936189,Chaqueta de plumón de hombre Diablo 2.0 The North Face,"Deportes,Deportes : Hombre,Deportes : Hombre : Ropa deportiva, esportiva, Deportes : Hombre : Ropa deportiva, esportiva : Chaquetas,Deportes,Deportes : Montaña,Deportes : Montaña : Ropa,Deportes : Montaña : Ropa : Hombre","Cuando te pongas la chaqueta de plumón Diablo 2.0, no te la querrás volver a quitar. Esta temporada se presenta en un diseño renovado con una nueva construcción más resistente en tejido antidesgarros a rombos de alta resistencia y con aislamiento térmico de 700 cuins a base de plumón reciclado, que te abrigará en un santiamén. ",https://dam.elcorteingles.es/producto/www-0197064936076-00.jpg,230.95,https://www.elcorteingles.es/deportes/MP_0538405_NF0A8993-chaqueta-de-plumon-de-hombre-diablo-20-the-north-face/,1,MP_0538405_NF0A8993,001019760608455054,329.99,30%,The North Face,In stock,"999.14598528013,999.17482946013","Chaquetas,Hombre"
0753759338110,Incompleto (Tapa dura),"Libros,Libros : Infantiles,Libros : Infantiles : Mas de 12,Libros : Infantiles : Mas de 12 : Libros de Conocimiento, ""metafisica"" y cosas","Esta es la historia de Incompleto, un pueblecito perdido en lo alto de una colina y rodeado de montañas puntiagudas.",https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202001/13/00106540356687____1__440x440.jpg,15.3,https://www.elcorteingles.es/libros/A34346564-incompleto-tapa-dura/,1,A34346564,001006540356687,15.64,8%,NARVAL,In stock,999.3151747,"Libros de Conocimiento, ""metafisica"" y cosas"
